,icpsr_id,name,congress,party_status,committee_party_rank,party,state,committee
1698,1678,"Chavez, Dennis",86,1,1,Democrat,NM,Environment and Public Works
1699,5213,"Kerr, Robert S.",86,1,2,Democrat,OK,Environment and Public Works
1700,6366,"McNamara, Patrick V.",86,1,3,Democrat,MI,Environment and Public Works
1701,6882,"Neuberger, Richard L.",86,1,4,Democrat,OR,Environment and Public Works
1702,7722,"Randolph, Jennings",86,1,5,Democrat,WV,Environment and Public Works
1703,6134,"McCarthy, Eugene J.",86,1,6,,MN,Environment and Public Works
1704,0454,"Young, Stephen M.",86,1,7,Democrat,OH,Environment and Public Works
1705,6831,"Muskie, Edmund S.",86,1,8,Democrat,ME,Environment and Public Works
1706,3864,"Gruening, Ernest",86,1,9,Democrat,AK,Environment and Public Works
1707,6754,"Moss, Frank E.",86,1,10,Democrat,UT,Environment and Public Works
1708,1570,"Case, Francis H.",86,2,1,Republican,SD,Environment and Public Works
1709,6039,"Martin, Thomas E.",86,2,2,Republican,IA,Environment and Public Works
1710,2052,"Cooper, John Sherman",86,2,3,Republican,KY,Environment and Public Works
1711,8301,"Scott, Hugh D. Jr.",86,2,4,Republican,PA,Environment and Public Works
1712,7637,"Prouty, Winston L.",86,2,5,Republican,VT,Environment and Public Works
1713,5764,"Long, Oren E.",86,4,11,Democrat,HI,Environment and Public Works
1714,3255,"Fong, Hiram L.",86,5,6,Republican,HI,Environment and Public Works
1715,5843,"Lusk, Hall S.",86,6,1,Democrat,OR,Environment and Public Works
1716,4328,"Hennings, Thomas C. Jr.",86,1,1,Democrat,MO,Rules and Administration
1717,4227,"Hayden, Carl",86,1,2,Democrat,AZ,Rules and Administration
1718,3783,"Green, Theodore F.",86,1,3,Democrat,RI,Rules and Administration
1719,5967,"Mansfield, Michael J.",86,1,4,Democrat,MT,Rules and Administration
1720,5073,"Jordan, B. Everett",86,1,5,Democrat,NC,Rules and Administration
1721,1482,"Cannon, Howard W.",86,1,6,Democrat,NV,Rules and Administration
1722,2267,"Curtis, Carl T.",86,2,1,Republican,NE,Rules and Administration
1723,4898,"Javits, Jacob K.",86,2,2,Republican,NY,Rules and Administration
1724,6745,"Morton, Thruston B.",86,2,3,Republican,KY,Rules and Administration
1725,5116,"Keating, Kenneth B.",86,7,1,Republican,NY,Rules and Administration
1726,1167,"Brunsdale, C. Norman",86,7,2,Republican,ND,Rules and Administration
1727,6039,"Martin, Thomas E.",86,7,3,Republican,IA,Rules and Administration
1728,4979,"Johnson, Lyndon B.",86,1,1,Democrat,TX,
1729,5967,"Mansfield, Michael J.",86,1,2,Democrat,MT,
1730,2609,"Dirksen, Everett McK.",86,2,1,Republican,IL,
1731,5372,"Kuchel, Thomas H.",86,2,2,Republican,CA,
1732,6881,"Neuberger, Maurine B.",86,0,0,Democrat,OR,
